,Dining_Hall,Course,Menu_Item,Serving_Size,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Total_Carbohydrate,Dietary_Fiber,Sugars,Protein,Nutrition_Score
0,east-quad,Breakfast,Oatmeal,253,183,3,1,0.0,0,3,33,5,1,6,3.21
1,east-quad,Breakfast,Scrambled Eggs,84,163,12,4,0.0,336,116,0,0,0,11,3.34
2,east-quad,Breakfast,Scrambled Tempeh,113,197,8,2,0.0,0,222,14,6,1,18,2.58
3,east-quad,Breakfast,Chicken Sausage Patties,43,81,6,2,0.0,41,273,0,0,0,6,0.71
4,east-quad,Breakfast,Vegetable Fried Rice,100,115,2,1,0.0,38,115,19,1,2,4,2.11
5,east-quad,Breakfast,Patatas Bravas,85,159,11,2,0.0,4,178,15,1,3,1,1.87
6,east-quad,Breakfast,Kale Saute,85,69,4,0,0.0,0,111,8,2,0,3,1.81
7,east-quad,Breakfast,Dutch Waffle,128,721,58,13,0.0,20,350,43,3,12,4,2.44
8,east-quad,Breakfast,Sausage Gravy,57,73,4,2,0.0,12,178,5,0,3,4,0.53
9,east-quad,Breakfast,Biscuits,62,185,8,5,0.0,0,576,25,1,2,3,-0.25
10,east-quad,Breakfast,Egg and Cheese Croissant,101,274,16,8,0.0,227,340,20,1,5,11,1.71
11,east-quad,Breakfast,Egg & Cheese English Muffin Sandwich,124,243,10,4,0.0,201,474,25,1,2,12,1.14
12,east-quad,Breakfast,Cinnamon Sugar Donuts,94,398,23,10,0.0,15,570,44,1,19,4,1.4
13,east-quad,Breakfast,Cappuccino Chocolate Chip Muffins,54,202,9,3,0.0,18,145,27,1,17,2,2.23
14,east-quad,Breakfast,Chocolate Chocolate Chip Muffins,54,176,8,2,0.0,17,172,24,1,15,2,2.01
15,east-quad,Lunch,Hummus,28,53,4,1,0.0,0,92,3,1,0,1,1.5
16,east-quad,Lunch,Fresh Pico De Gallo,28,5,0,0,0.0,0,2,1,0,1,0,2.6
17,east-quad,Lunch,East Carolina Slaw,57,26,0,0,0.0,0,157,7,1,6,0,-2.9
18,east-quad,Lunch,Macaroni Salad,113,211,14,2,0.0,94,471,16,1,2,5,0.83
19,east-quad,Lunch,Three Bean Chili,198,126,2,0,0.0,0,449,22,6,7,5,-0.13
20,east-quad,Lunch,Loaded Baked Potato Soup,227,422,32,19,1.0,104,414,26,2,6,11,0.79
21,east-quad,Lunch,Italian Local Chicken,95,220,16,4,0.0,67,146,1,0,0,17,2.49
22,east-quad,Lunch,Redskin Potato Salad,113,202,15,2,0.0,7,367,16,2,1,2,1.25
23,east-quad,Lunch,Tofu Vietnamese Chili Stir Fry,119,116,6,1,0.0,1,640,8,2,4,9,-2.04
24,east-quad,Lunch,Long Grain Rice,74,119,0,0,0.0,0,184,26,0,0,3,1.55
25,east-quad,Lunch,Lime Wedges,10,3,0,0,0.0,0,0,1,0,0,0,3.0
26,east-quad,Lunch,Black Bean Vegetarian Patty,96,150,5,1,0.0,5,321,16,5,2,14,1.48
27,east-quad,Lunch,Sliced Pepper Jack Cheese,28,101,8,5,0.0,25,192,1,0,0,6,0.89
28,east-quad,Lunch,Black Bean and Corn Salad,57,50,0,0,0.0,0,65,9,2,2,2,2.08
29,east-quad,Lunch,6 In Sub Bun,65,151,2,1,0.0,0,261,27,1,1,6,1.41
30,east-quad,Lunch,Seasoned Green Beans,113,53,2,0,0.0,0,197,9,3,4,2,-0.24
31,east-quad,Lunch,Totchos,227,498,36,11,0.0,33,1028,31,5,3,12,1.0
32,east-quad,Lunch,Grilled Halal Honey Lime Chicken,95,112,3,0,0.0,40,174,1,0,1,19,2.13
33,east-quad,Lunch,Mexican Rice,113,272,0,0,0.0,0,180,59,0,1,6,2.43
34,east-quad,Lunch,"Corn with Cumin, Chili, and Tomato",113,99,2,0,0.0,0,223,19,2,7,3,0.98
35,east-quad,Lunch,Roasted Zucchini,170,53,4,1,0.0,0,64,5,2,4,2,2.17
36,east-quad,Lunch,Cheese Bread,51,207,8,4,0.0,21,375,22,1,1,9,1.24
37,east-quad,Lunch,Pepperoni Pizza,113,298,10,5,0.0,28,647,33,2,2,12,0.9
38,east-quad,Lunch,Cheese Pizza,105,269,8,4,0.0,21,540,33,2,2,11,1.08
39,east-quad,Lunch,Corn Dogs,113,273,14,4,0.0,46,709,27,1,9,10,0.46
40,east-quad,Lunch,Homestyle Chicken Tenders,85,289,19,4,0.0,0,509,13,1,0,16,1.42
41,east-quad,Lunch,French Fries,113,190,10,1,0.0,0,470,25,1,1,1,0.54
42,east-quad,Lunch,Chocolate Chunk Cookies,35,152,7,3,0.0,5,117,21,1,13,2,2.15
43,east-quad,Lunch,Strawberry Torte,135,564,31,18,1.0,86,388,69,1,56,3,1.05
44,east-quad,Lunch,Butterscotch Blondies,52,233,12,8,0.0,44,223,30,1,18,3,1.81
45,east-quad,Lunch,Vegan Bumpy Cake,147,492,22,7,0.0,0,562,70,1,53,5,1.78
46,east-quad,Dinner,Three Bean Chili,198,126,2,0,0.0,0,449,22,6,7,5,-0.13
47,east-quad,Dinner,Loaded Baked Potato Soup,227,422,32,19,1.0,104,414,26,2,6,11,0.79
48,east-quad,Dinner,Naan Bread,57,170,6,1,0.0,0,454,26,1,1,4,0.41
